SDD,UGO,XGN,LBZ,VPE,757
LUO,XGN,MSZ,KNP,DUE,767
UGO,MSZ,VPE,AXA,CBT,777
XGN,VPE,DUE,ANU,LBZ,BAE146
MSZ,DUE,CBT,BBQ,KNP,DC8
VPE,CBT,LBZ,RAF,AXA,F50
DUE,LBZ,KNP,COC,ANU,MD11
CBT,KNP,AXA,GHU,BBQ,A400M
LBZ,AXA,ANU,PRA,RAF,C212
KNP,ANU,BBQ,ROS,COC,V22
AXA,BBQ,RAF,SFN,GHU,BB1
ANU,RAF,COC,AEP,PRA,BA10
BBQ,COC,GHU,COR,ROS,SIS99
RAF,GHU,PRA,LPG,SFN,SAH
COC,PRA,ROS,MDZ,AEP,A319
GHU,ROS,SFN,LGS,COR,A320
PRA,SFN,AEP,AFA,LPG,A321
ROS,AEP,COR,CTC,MDZ,A330
SFN,COR,LPG,SDE,LGS,737
AEP,LPG,MDZ,IRJ,AFA,747
COR,MDZ,LGS,TUC,CTC,757
LPG,LGS,AFA,UAQ,SDE,767
MDZ,AFA,CTC,RCU,IRJ,777
LGS,CTC,SDE,VDR,TUC,BAE146
AFA,SDE,IRJ,LUQ,UAQ,DC8
CTC,IRJ,TUC,CNQ,RCU,F50
SDE,TUC,UAQ,RES,VDR,MD11
IRJ,UAQ,RCU,FMA,LUQ,A400M
TUC,RCU,VDR,IGR,CNQ,C212
UAQ,VDR,LUQ,AOL,RES,V22
RCU,LUQ,CNQ,PSS,FMA,BB1
VDR,CNQ,RES,SLA,IGR,BA10
LUQ,RES,FMA,JUJ,AOL,SIS99
CNQ,FMA,IGR,ORA,PSS,SAH
RES,IGR,AOL,EHL,SLA,A319
FMA,AOL,PSS,CRD,JUJ,A320
IGR,PSS,SLA,EQS,ORA,A321
AOL,SLA,JUJ,REL,EHL,A330
PSS,JUJ,ORA,VDM,CRD,737
SLA,ORA,EHL,PMY,EQS,747
JUJ,EHL,CRD,PUD,REL,757
ORA,CRD,EQS,RGA,VDM,767
EHL,EQS,REL,RGL,PMY,777
CRD,REL,VDM,USH,PUD,BAE146
EQS,VDM,PMY,ULA,RGA,DC8
REL,PMY,PUD,PMQ,RGL,F50
VDM,PUD,RGA,RZA,USH,MD11
PMY,RGA,RGL,BHI,ULA,A400M
PUD,RGL,USH,MDQ,PMQ,C212
RGA,USH,ULA,NQN,RZA,V22
RGL,ULA,PMQ,RSA,BHI,BB1
USH,PMQ,RZA,BRC,MDQ,BA10
ULA,RZA,BHI,TDL,NQN,SIS99
PMQ,BHI,MDQ,VLG,RSA,SAH
RZA,MDQ,NQN,CPC,BRC,A319
BHI,NQN,RSA,EZE,TDL,A320
MDQ,RSA,BRC,FTE,VLG,A321
NQN,BRC,TDL,SST,CPC,A330
RSA,TDL,VLG,GGS,EZE,737
BRC,VLG,CPC,OES,FTE,747
TDL,CPC,EZE,LHS,SST,757
VLG,EZE,FTE,TTG,GGS,767
CPC,FTE,SST,NEC,OES,777
EZE,SST,GGS,ING,LHS,BAE146
FTE,GGS,OES,APZ,TTG,DC8
SST,OES,LHS,RDS,NEC,F50
GGS,LHS,TTG,OLN,ING,MD11
OES,TTG,NEC,RYO,APZ,A400M
LHS,NEC,ING,CVI,RDS,C212
TTG,ING,APZ,SGV,OLN,V22
NEC,APZ,RDS,IGB,RYO,BB1
ING,RDS,OLN,ELX,CVI,BA10
APZ,OLN,RYO,RLO,SGV,SIS99
RDS,RYO,CVI,ARR,IGB,SAH
OLN,CVI,SGV,JSM,ELX,A319
RYO,SGV,IGB,CFX,RLO,A320
CVI,IGB,ELX,RHD,ARR,A321
SGV,ELX,RLO,EVN,JSM,A330
IGB,RLO,ARR,LWN,CFX,737
ELX,ARR,JSM,AUA,RHD,747
RLO,JSM,CFX,MTL,EVN,757
ARR,CFX,RHD,DGE,LWN,767
JSM,RHD,EVN,WSY,AUA,777
CFX,EVN,LWN,NSO,MTL,BAE146
RHD,LWN,AUA,CES,DGE,DC8
EVN,AUA,MTL,OKB,WSY,F50
LWN,MTL,DGE,ABM,NSO,MD11
AUA,DGE,WSY,ASP,CES,A400M
MTL,WSY,NSO,BNE,OKB,C212
DGE,NSO,CES,OOL,ABM,V22
WSY,CES,OKB,CNS,ASP,BB1
NSO,OKB,ABM,CTL,BNE,BA10
CES,ABM,ASP,ISA,OOL,SIS99
OKB,ASP,BNE,MCY,CNS,SAH
ABM,BNE,OOL,MKY,CTL,A319
ASP,OOL,CNS,PPP,ISA,A320
BNE,CNS,CTL,ROK,MCY,A321
OOL,CTL,ISA,TSV,MKY,A330
CNS,ISA,MCY,WEI,PPP,737
CTL,MCY,MKY,AVV,ROK,747
ISA,MKY,PPP,ABX,TSV,757
MCY,PPP,ROK,MEB,WEI,767
MKY,ROK,TSV,HBA,AVV,777
PPP,TSV,WEI,LST,ABX,BAE146
ROK,WEI,AVV,MBW,MEB,DC8
TSV,AVV,ABX,MEL,HBA,F50
WEI,ABX,MEB,ADL,LST,MD11
AVV,MEB,HBA,JAD,MBW,A400M
ABX,HBA,LST,KTA,MEL,C212
MEB,LST,MBW,KGI,ADL,V22
HBA,MBW,MEL,KNX,JAD,BB1
LST,MEL,ADL,LEA,KTA,BA10
MBW,ADL,JAD,PHE,KGI,SIS99
MEL,JAD,KTA,PER,KNX,SAH
ADL,KTA,KGI,UMR,LEA,A319
JAD,KGI,KNX,BWU,PHE,A320
KTA,KNX,LEA,CBR,PER,A321
KGI,LEA,PHE,CFS,UMR,A330
KNX,PHE,PER,CDU,BWU,737
LEA,PER,UMR,DBO,CBR,747
PHE,UMR,BWU,RCM,CFS,757
PER,BWU,CBR,SYD,CDU,767
UMR,CBR,CFS,TMW,DBO,777
BWU,CFS,CDU,WGA,RCM,BAE146
CBR,CDU,DBO,EMD,SYD,DC8
CFS,DBO,RCM,DRW,TMW,F50
CDU,RCM,SYD,AYQ,WGA,MD11
DBO,SYD,TMW,KGC,EMD,A400M
RCM,TMW,WGA,HVB,DRW,C212
SYD,WGA,EMD,ARM,AYQ,V22
TMW,EMD,DRW,BKQ,KGC,BB1
WGA,DRW,AYQ,BDB,HVB,BA10
EMD,AYQ,KGC,HIS,ARM,SIS99
DRW,KGC,HVB,THG,BKQ,SAH
AYQ,HVB,ARM,BNK,BDB,A319
KGC,ARM,BKQ,BME,HIS,A320
HVB,BKQ,BDB,NTL,THG,A321
ARM,BDB,HIS,GUL,BNK,A330
BKQ,HIS,THG,ALH,BME,737
BDB,THG,BNK,GYL,NTL,747
HIS,BNK,BME,AUU,GUL,757
THG,BME,NTL,BCI,ALH,767
BNK,NTL,GUL,BDD,GYL,777
BME,GUL,ALH,BVI,AUU,BAE146
NTL,ALH,GYL,BHQ,BCI,DC8
GUL,GYL,AUU,HTI,BDD,F50
ALH,AUU,BCI,BEU,BVI,MD11
GYL,BCI,BDD,BRK,BHQ,A400M
AUU,BDD,BVI,BUC,HTI,C212
BCI,BVI,BHQ,GIC,BEU,V22
BDD,BHQ,HTI,OKY,BRK,BB1
BVI,HTI,BEU,BQL,BUC,BA10
BHQ,BEU,BRK,BHS,GIC,SIS99
HTI,BRK,BUC,BLT,OKY,SAH
BEU,BUC,GIC,CVQ,BQL,A319
BRK,GIC,OKY,CAZ,BHS,A320
BUC,OKY,BQL,CPD,BLT,A321
GIC,BQL,BHS,CNC,CVQ,A330
OKY,BHS,BLT,CNJ,CAZ,737
BQL,BLT,CVQ,CED,CPD,747
BHS,CVQ,CAZ,CTN,CNC,757
BLT,CAZ,CPD,CMA,CNJ,767
CVQ,CPD,CNC,CNB,CED,777
CAZ,CNC,CNJ,CUQ,CTN,BAE146
CPD,CNJ,CED,OOM,CMA,DC8
CNC,CED,CTN,DMD,CNB,F50
CNJ,CTN,CMA,NLF,CUQ,MD11
CED,CMA,CNB,DPO,OOM,A400M
CTN,CNB,CUQ,ELC,DMD,C212
CMA,CUQ,OOM,EPR,NLF,V22
CNB,OOM,DMD,FLS,DPO,BB1
CUQ,DMD,NLF,GET,ELC,BA10
OOM,NLF,DPO,GLT,EPR,SIS99
DMD,DPO,ELC,GTE,FLS,SAH
NLF,ELC,EPR,GFF,GET,A319
DPO,EPR,FLS,HID,GLT,A320
ELC,FLS,GET,HOK,GTE,A321
EPR,GET,GLT,MHU,GFF,A330
FLS,GLT,GTE,HGD,HID,737
GET,GTE,GFF,JCK,HOK,747
GLT,GFF,HID,KAX,MHU,757
GTE,HID,HOK,KNS,HGD,767
GFF,HOK,MHU,KFG,JCK,777
HID,MHU,HGD,KRB,KAX,BAE146
HOK,HGD,JCK,KWM,KNS,DC8
MHU,JCK,KAX,KUG,KFG,F50
HGD,KAX,KNS,LNO,KRB,MD11
JCK,KNS,KFG,LEL,KWM,A400M
KAX,KFG,KRB,LDH,KUG,C212
KNS,KRB,KWM,IRG,LNO,V22
KFG,KWM,KUG,LSY,LEL,BB1
KRB,KUG,LNO,LHG,LDH,BA10
KWM,LNO,LEL,LRE,IRG,SIS99
KUG,LEL,LDH,LER,LSY,SAH
LNO,LDH,IRG,LVO,LHG,A319
LEL,IRG,LSY,UBB,LRE,A320
LDH,LSY,LHG,MKR,LER,A321
IRG,LHG,LRE,MIM,LVO,A330
LSY,LRE,LER,MGT,UBB,737
LHG,LER,LVO,MNG,MKR,747
LRE,LVO,UBB,MCV,MIM,757
LER,UBB,MKR,MQL,MGT,767
LVO,MKR,MIM,MMG,MNG,777
UBB,MIM,MGT,MRZ,MCV,BAE146
MKR,MGT,MNG,MOV,MQL,DC8
MIM,MNG,MCV,MYA,MMG,F50
MGT,MCV,MQL,MGB,MRZ,MD11
MNG,MQL,MMG,ONG,MOV,A400M
MCV,MMG,MRZ,MYI,MYA,C212
MQL,MRZ,MOV,MBH,MGB,V22
MMG,MOV,MYA,NRA,ONG,BB1
MRZ,MYA,MGB,NAA,MYI,BA10
MOV,MGB,ONG,NTN,MBH,SIS99
MYA,ONG,MYI,ZNE,NRA,SAH
MGB,MYI,MBH,OLP,NAA,A319
ONG,MBH,NRA,PUG,NTN,A320
MYI,NRA,NAA,PMK,ZNE,A321
MBH,NAA,NTN,PBO,OLP,A330
NRA,NTN,ZNE,GOV,PUG,737
NAA,ZNE,OLP,PKE,PMK,747
NTN,OLP,PUG,PLO,PBO,757
ZNE,PUG,PMK,EDR,GOV,767
OLP,PMK,PBO,PQQ,PKE,777
PUG,PBO,GOV,PTJ,PLO,BAE146
PMK,GOV,PKE,ULP,EDR,DC8
PBO,PKE,PLO,RAM,PQQ,F50
GOV,PLO,EDR,RMA,PTJ,MD11
PKE,EDR,PQQ,SGO,ULP,A400M
PLO,PQQ,PTJ,MJK,RAM,C212
EDR,PTJ,ULP,SBR,RMA,V22
PQQ,ULP,RAM,SRN,SGO,BB1
PTJ,RAM,RMA,XTG,MJK,BA10
ULP,RMA,SGO,TCA,SBR,SIS99
RAM,SGO,MJK,VCD,SRN,SAH
RMA,MJK,SBR,SYU,XTG,A319
SGO,SBR,SRN,WNR,TCA,A320
MJK,SRN,XTG,WYA,VCD,A321
SBR,XTG,TCA,WUN,SYU,A330
SRN,TCA,VCD,WOL,WNR,737
XTG,VCD,SYU,WIN,WYA,747
TCA,SYU,WNR,BWT,WUN,757
VCD,WNR,WYA,OKR,WOL,767
SYU,WYA,WUN,XMY,WIN,777
WNR,WUN,WOL,WME,BWT,BAE146
WYA,WOL,WIN,NOA,OKR,DC8
WUN,WIN,BWT,KTR,XMY,F50
WOL,BWT,OKR,TRO,WME,MD11
WIN,OKR,XMY,OAG,NOA,A400M
BWT,XMY,WME,GFN,KTR,C212
OKR,WME,NOA,TWB,TRO,V22
XMY,NOA,KTR,BWB,OAG,BB1
WME,KTR,TRO,MWB,GFN,BA10
NOA,TRO,OAG,EXM,TWB,SIS99
KTR,OAG,GFN,DRB,BWB,SAH
TRO,GFN,TWB,WGE,MWB,A319
OAG,TWB,BWB,BRT,EXM,A320
GFN,BWB,MWB,DKI,DRB,A321
TWB,MWB,EXM,LZR,WGE,A330
BWB,EXM,DRB,HLT,BRT,737
MWB,DRB,WGE,HCQ,DKI,747
EXM,WGE,BRT,FIZ,LZR,757
DRB,BRT,DKI,RVT,HLT,767
WGE,DKI,LZR,HRN,HCQ,777
BRT,LZR,HLT,LYT,FIZ,BAE146
DKI,HLT,HCQ,ORS,RVT,DC8
LZR,HCQ,FIZ,GEX,HRN,F50
HLT,FIZ,RVT,PEA,LYT,MD11
HCQ,RVT,HRN,CDA,ORS,A400M
FIZ,HRN,LYT,JAB,GEX,C212
RVT,LYT,ORS,TEF,PEA,V22
HRN,ORS,GEX,RMK,CDA,BB1
LYT,GEX,PEA,XMC,JAB,BA10
ORS,PEA,CDA,YUE,TEF,SIS99
GEX,CDA,JAB,GKL,RMK,SAH
PEA,JAB,TEF,RPB,XMC,A319
CDA,TEF,RMK,IFL,YUE,A320
JAB,RMK,XMC,MOO,GKL,A321
TEF,XMC,YUE,ONS,RPB,A330
RMK,YUE,GKL,TDR,IFL,737
XMC,GKL,RPB,CCL,MOO,747
YUE,RPB,IFL,JHQ,ONS,757
GKL,IFL,MOO,SHT,TDR,767
RPB,MOO,ONS,TEM,CCL,777
IFL,ONS,TDR,GAH,JHQ,BAE146
MOO,TDR,CCL,WIO,SHT,DC8
ONS,CCL,JHQ,BEO,TEM,F50
TDR,JHQ,SHT,BMP,GAH,MD11
CCL,SHT,TEM,BQB,WIO,A400M
JHQ,TEM,GAH,IVR,BEO,C212
SHT,GAH,WIO,GLI,BMP,V22
TEM,WIO,BEO,KFE,BQB,BB1
GAH,BEO,BMP,SLJ,IVR,BA10
WIO,BMP,BQB,COJ,GLI,SIS99
BEO,BQB,IVR,BSJ,KFE,SAH
BMP,IVR,GLI,PXH,SLJ,A319
BQB,GLI,KFE,GRZ,COJ,A320
IVR,KFE,SLJ,INN,BSJ,A321
GLI,SLJ,COJ,LNZ,PXH,A330
KFE,COJ,BSJ,SZG,GRZ,737
SLJ,BSJ,PXH,VIE,INN,747
COJ,PXH,GRZ,HOJ,LNZ,757
BSJ,GRZ,INN,KLU,SZG,767
PXH,INN,LNZ,ZSB,VIE,777
GRZ,LNZ,SZG,XWW,HOJ,BAE146
INN,SZG,VIE,GYD,KLU,DC8
LNZ,VIE,HOJ,BAK,ZSB,F50
SZG,HOJ,KLU,NAJ,XWW,MD11
VIE,KLU,ZSB,KVD,GYD,A400M
HOJ,ZSB,XWW,LLK,BAK,C212
KLU,XWW,GYD,GBB,NAJ,V22
ZSB,GYD,BAK,ZTU,KVD,BB1
XWW,BAK,NAJ,ASD,LLK,BA10
GYD,NAJ,KVD,MHH,GBB,SIS99
BAK,KVD,LLK,SAQ,ZTU,SAH
NAJ,LLK,GBB,AXP,ASD,A319
KVD,GBB,ZTU,TCB,MHH,A320
LLK,ZTU,ASD,CCZ,SAQ,A321
GBB,ASD,MHH,BIM,AXP,A330
ZTU,MHH,SAQ,GGT,TCB,737
ASD,SAQ,AXP,ELH,CCZ,747
MHH,AXP,TCB,GHB,BIM,757
SAQ,TCB,CCZ,RSD,GGT,767
AXP,CCZ,BIM,FPO,ELH,777
TCB,BIM,GGT,IGA,GHB,BAE146
CCZ,GGT,ELH,LGI,RSD,DC8
BIM,ELH,GHB,SML,FPO,F50
GGT,GHB,RSD,MYG,IGA,MD11
ELH,RSD,FPO,NAS,LGI,A400M
GHB,FPO,IGA,ZSA,SML,C212
RSD,IGA,LGI,NSB,MYG,V22
FPO,LGI,SML,PID,NAS,BB1
IGA,SML,MYG,CRI,ZSA,BA10
LGI,MYG,NAS,CAT,NSB,SIS99
SML,NAS,ZSA,ATC,PID,SAH
MYG,ZSA,NSB,COX,CRI,A319
NAS,NSB,PID,WZY,CAT,A320
ZSA,PID,CRI,BAH,ATC,A321
NSB,CRI,CAT,CXB,COX,A330
PID,CAT,ATC,CGP,WZY,737
CRI,ATC,COX,IRD,BAH,747
CAT,COX,WZY,JSR,CXB,757
ATC,WZY,BAH,RJH,CGP,767
COX,BAH,CXB,SPD,IRD,777
WZY,CXB,CGP,ZYL,JSR,BAE146
BAH,CGP,IRD,DAC,RJH,DC8
CXB,IRD,JSR,BZL,SPD,F50
CGP,JSR,RJH,BGI,ZYL,MD11
IRD,RJH,SPD,GME,DAC,A400M
JSR,SPD,ZYL,VTB,BZL,C212
RJH,ZYL,DAC,MHP,BGI,V22
SPD,DAC,BZL,MSQ,GME,BB1
ZYL,BZL,BGI,GNA,VTB,BA10
DAC,BGI,GME,MVQ,MHP,SIS99
BZL,GME,VTB,BQT,MSQ,SAH
BGI,VTB,MHP,ANR,GNA,A319
GME,MHP,MSQ,BRU,MVQ,A320
VTB,MSQ,GNA,CRL,BQT,A321
MHP,GNA,MVQ,QKT,ANR,A330
MSQ,MVQ,BQT,LGG,BRU,737
GNA,BQT,ANR,OST,CRL,747
MVQ,ANR,BRU,ZYR,QKT,757
BQT,BRU,CRL,KNO,LGG,767
ANR,CRL,QKT,ZWE,OST,777
BRU,QKT,LGG,XHN,ZYR,BAE146
CRL,LGG,OST,BZE,KNO,DC8
QKT,OST,ZYR,SPR,ZWE,F50
LGG,ZYR,KNO,PND,XHN,MD11
OST,KNO,ZWE,CUK,BZE,A400M
ZYR,ZWE,XHN,TZA,SPR,C212
KNO,XHN,BZE,CZH,PND,V22
ZWE,BZE,SPR,CYC,CUK,BB1
XHN,SPR,PND,BGK,TZA,BA10
BZE,PND,CUK,DGA,CZH,SIS99
SPR,CUK,TZA,PLJ,CYC,SAH
PND,TZA,CZH,SJX,BGK,A319
CUK,CZH,CYC,BCV,DGA,A320
TZA,CYC,BGK,COO,PLJ,A321
CZH,BGK,DGA,BDA,SJX,A330
CYC,DGA,PLJ,PBH,BCV,737
BGK,PLJ,SJX,BJO,COO,747
DGA,SJX,BCV,CBB,BDA,757
PLJ,BCV,COO,CIJ,PBH,767
SJX,COO,BDA,LPB,BJO,777
BCV,BDA,PBH,POI,CBB,BAE146
COO,PBH,BJO,PSZ,CIJ,DC8
BDA,BJO,CBB,SRE,LPB,F50
PBH,CBB,CIJ,TJA,POI,MD11
BJO,CIJ,LPB,TDD,PSZ,A400M
CBB,LPB,POI,VVI,SRE,C212
CIJ,POI,PSZ,BYC,TJA,V22
LPB,PSZ,SRE,SRZ,TDD,BB1
POI,SRE,TJA,REY,VVI,BA10
PSZ,TJA,TDD,PUR,BYC,SIS99
SRE,TDD,VVI,SRJ,SRZ,SAH
TJA,VVI,BYC,RIB,REY,A319
TDD,BYC,SRZ,GYA,PUR,A320
VVI,SRZ,REY,UYU,SRJ,A321
BYC,REY,PUR,RBQ,RIB,A330
SRZ,PUR,SRJ,OMO,GYA,737
REY,SRJ,RIB,SJJ,UYU,747
PUR,RIB,GYA,BNX,RBQ,757
SRJ,GYA,UYU,FRW,OMO,767
RIB,UYU,RBQ,JWA,SJJ,777
GYA,RBQ,OMO,BBK,BNX,BAE146
UYU,OMO,SJJ,MUB,FRW,DC8
RBQ,SJJ,BNX,GBE,JWA,F50
OMO,BNX,FRW,PKW,BBK,MD11
SJJ,FRW,JWA,TLD,MUB,A400M
BNX,JWA,BBK,SWX,GBE,C212
FRW,BBK,MUB,ORP,PKW,V22
JWA,MUB,GBE,GNZ,TLD,BB1
BBK,GBE,PKW,KHW,SWX,BA10
MUB,PKW,TLD,CDJ,ORP,SIS99
GBE,TLD,SWX,AQA,GNZ,SAH
PKW,SWX,ORP,AJU,KHW,A319
TLD,ORP,GNZ,AFL,CDJ,A320
SWX,GNZ,KHW,ARU,AQA,A321
ORP,KHW,CDJ,BEL,AJU,A330
GNZ,CDJ,AQA,BGX,AFL,737
KHW,AQA,AJU,PLU,ARU,747
CDJ,AJU,AFL,BFH,BEL,757
AQA,AFL,ARU,BSB,BGX,767
AJU,ARU,BEL,BAU,PLU,777
AFL,BEL,BGX,BVB,BFH,BAE146
ARU,BGX,PLU,CAC,BSB,DC8
BEL,PLU,BFH,CNF,BAU,F50
BGX,BFH,BSB,CGR,BVB,MD11
PLU,BSB,BAU,XAP,CAC,A400M
BFH,BAU,BVB,CLN,CNF,C212
BSB,BVB,CAC,CCM,CGR,V22
BAU,CAC,CNF,CAW,XAP,BB1
BVB,CNF,CGR,CMG,CLN,BA10
CAC,CGR,XAP,CWB,CCM,SIS99
CNF,XAP,CLN,CRQ,CAW,SAH
CGR,CLN,CCM,CXJ,CMG,A319
XAP,CCM,CAW,CGB,CWB,A320
CLN,CAW,CMG,CZS,CRQ,A321
CCM,CMG,CWB,PPB,CXJ,A330
CAW,CWB,CRQ,MAO,CGB,737
CMG,CRQ,CXJ,IGU,CZS,747
CWB,CXJ,CGB,FLN,PPB,757
CRQ,CGB,CZS,FEN,MAO,767
CXJ,CZS,PPB,FOR,IGU,777
CGB,PPB,MAO,GIG,FLN,BAE146
CZS,MAO,IGU,GYN,FEN,DC8
PPB,IGU,FLN,GRU,FOR,F50
MAO,FLN,FEN,ATM,GIG,MD11
IGU,FEN,FOR,IOS,GYN,A400M
FLN,FOR,GIG,IPN,GRU,C212
FEN,GIG,GYN,IMP,ATM,V22
FOR,GYN,GRU,JDF,IOS,BB1
GIG,GRU,ATM,JPA,IPN,BA10
GYN,ATM,IOS,JOI,IMP,SIS99
GRU,IOS,IPN,CPV,JDF,SAH
ATM,IPN,IMP,VCP,JPA,A319
IOS,IMP,JDF,LIP,JOI,A320
IPN,JDF,JPA,LDB,CPV,A321
IMP,JPA,JOI,LAZ,VCP,A330
JDF,JOI,CPV,MAB,LIP,737
JPA,CPV,VCP,MGF,LDB,747
JOI,VCP,LIP,MOC,LAZ,757
CPV,LIP,LDB,MCZ,MAB,767
VCP,LDB,LAZ,MCP,MGF,777
LIP,LAZ,MAB,MNX,MOC,BAE146
LDB,MAB,MGF,NVT,MCZ,DC8
LAZ,MGF,MOC,GEL,MCP,F50
MAB,MOC,MCZ,NAT,MNX,MD11
MGF,MCZ,MCP,POA,NVT,A400M
MOC,MCP,MNX,POO,GEL,C212
MCZ,MNX,NVT,PFB,NAT,V22
MCP,NVT,GEL,PET,POA,BB1
MNX,GEL,NAT,PNZ,POO,BA10
NVT,NAT,POA,PNB,PFB,SIS99
GEL,POA,POO,PMG,PET,SAH
NAT,POO,PFB,PVH,PNZ,A319
POA,PFB,PET,RBR,PNB,A320
POO,PET,PNZ,REC,PMG,A321
PFB,PNZ,PNB,RIG,PVH,A330
PET,PNB,PMG,SDU,RBR,737
PNZ,PMG,PVH,RAO,REC,747
PNB,PVH,RBR,STU,RIG,757
PMG,RBR,REC,SJK,SDU,767
PVH,REC,RIG,SLZ,RAO,777
RBR,RIG,SDU,CGH,STU,BAE146
REC,SDU,RAO,SJP,SJK,DC8
RIG,RAO,STU,SSZ,SLZ,F50
SDU,STU,SJK,SSA,CGH,MD11
RAO,SJK,SLZ,TMT,SJP,A400M
STU,SLZ,CGH,THE,SSZ,C212
SJK,CGH,SJP,TFF,SSA,V22
SLZ,SJP,SSZ,TBT,TMT,BB1
CGH,SSZ,SSA,TUR,THE,BA10
SJP,SSA,TMT,PAV,TFF,SIS99
SSZ,TMT,THE,URG,TBT,SAH
SSA,THE,TFF,UDI,TUR,A319
TMT,TFF,TBT,UBA,PAV,A320
THE,TBT,TUR,VAG,URG,A321
TFF,TUR,PAV,BVH,UDI,A330
TBT,PAV,URG,VIX,UBA,737
TUR,URG,UDI,QPS,VAG,747
PAV,UDI,UBA,STM,BVH,757
URG,UBA,VAG,BPS,VIX,767
UDI,VAG,BVH,PMW,QPS,777
UBA,BVH,VIX,CLV,STM,BAE146
VAG,VIX,QPS,JPR,BPS,DC8
BVH,QPS,STM,MVS,PMW,F50
VIX,STM,BPS,TOW,CLV,MD11
QPS,BPS,PMW,RIA,JPR,A400M
STM,PMW,CLV,LEC,MVS,C212
BPS,CLV,JPR,JDO,TOW,V22
PMW,JPR,MVS,SRA,RIA,BB1
CLV,MVS,TOW,SOD,LEC,BA10
JPR,TOW,RIA,VDC,JDO,SIS99
MVS,RIA,LEC,MII,SRA,SAH
TOW,LEC,JDO,MEA,SOD,A319
RIA,JDO,SRA,ERM,VDC,A320
LEC,SRA,SOD,JDR,MII,A321
JDO,SOD,VDC,GVR,MEA,A330
SRA,VDC,MII,CPQ,ERM,737
SOD,MII,MEA,CFB,JDR,747
VDC,MEA,ERM,OPS,GVR,757
MII,ERM,JDR,GRP,CPQ,767
MEA,JDR,GVR,CMP,CFB,777
ERM,GVR,CPQ,BVS,OPS,BAE146
JDR,CPQ,CFB,SFK,GRP,DC8
GVR,CFB,OPS,PIN,CMP,F50
CPQ,OPS,GRP,BRA,BVS,MD11
CFB,GRP,CMP,STZ,SFK,A400M
OPS,CMP,BVS,MQH,PIN,C212
GRP,BVS,SFK,AUX,BRA,V22
CMP,SFK,PIN,NVP,STZ,BB1
